Ідентифікатор в реєстрі,Ім'я/назва суб'єкта,Тип,Статус,Указ Президента,Дата введення в дію,США,Велика Британія,Канада,ЄС,Швейцарія,Японія,Австралія,Нова Зеландія,Посилання на рішення
26036,"Закрите акціонерне товариство ""Фабрика діаграмних паперів""",legal,active,364/2023,2023-07-01,,,,,,,,,
26037,"Товариство з обмеженою відповідальністю ""Мікроелектронна фірма ""Онікс""",legal,active,364/2023,2023-07-01,,,,,,,,,
26038,"Акціонерне товариство ""Московський завод електромеханічної апаратури""",legal,active,364/2023,2023-07-01,,,,,,,,,
26039,"Акціонерне товариство ""Германій""",legal,active,364/2023,2023-07-01,,,,,,,,,
26040,"Акціонерне товариство ""Московський завод ""Сапфір""",legal,active,364/2023,2023-07-01,,,,,,,,,
26041,"Акціонерне товариство ""НПО ""Оріон""",legal,active,364/2023,2023-07-01,,,,,,,,,
26042,"Акціонерне товариство ""Об'єднана ракетно-космічна корпорація""",legal,active,364/2023,2023-07-01,,,,,,,,,
26043,"Відкрите акціонерне товариство ""Владимирський завод ""Елєктропрібор""",legal,active,364/2023,2023-07-01,,,,,,,,,
26044,"Товариство з обмеженою відповідальністю ""МікроЕМ компонент""",legal,active,364/2023,2023-07-01,,,,,,,,,
26045,"Акціонерне товариство ""ТрансКомплектХолдинг""",legal,active,364/2023,2023-07-01,,,,,,,,,
26046,"Товариство з обмеженою відповідальністю ""Челябінський тракторний завод-Уралтрак""",legal,active,364/2023,2023-07-01,,,,,,,,,
26047,"Акціонерне товариство ""Науково-виробниче об'єднання Завод ""Волна""",legal,active,364/2023,2023-07-01,,,,,,,,,
26048,"Товариство з обмеженою відповідальністю ""Науково-виробнича фірма ""ЛВС""",legal,active,364/2023,2023-07-01,,,,,,,,,
26049,"Акціонерне товариство ""Науково-виробниче об'єднання ""Московський радіотехнічний завод""",legal,active,364/2023,2023-07-01,,,,,,,,,
26050,"Федеральна автономна установа ""Сибірський науково-дослідний інститут авіації ім. С.О.Чаплигіна""",legal,active,364/2023,2023-07-01,,,,,,,,,
26051,"Акціонерне товариство ""Лантан""",legal,active,364/2023,2023-07-01,,,,,,,,,
26052,"Товариство з обмеженою відповідальністю ""Технології радіозв'язку""",legal,active,364/2023,2023-07-01,,,,,,,,,
26053,"Товариство з обмеженою відповідальністю ""Мезон-А""",legal,active,364/2023,2023-07-01,,,,,,,,,
26054,"Акціонерне товариство ""Науково-виробниче підприємство ""Сілар""",legal,active,364/2023,2023-07-01,,,,,,,,,
26055,"Закрите акціонерне товариство ""Кіраса""",legal,active,364/2023,2023-07-01,,,,,,,,,
26056,"Акціонерне товариство ""НЕВЗ-Керамікс""",legal,active,364/2023,2023-07-01,,,,,,,,,
26057,"Акціонерне товариство ""Борисфен""",legal,active,364/2023,2023-07-01,,,,,,,,,
26058,"Акціонерне товариство ""Краснодарський приладовий завод ""Каскад""",legal,active,364/2023,2023-07-01,,,,,,,,,
26059,"Акціонерне товариство ""Машинобудівне виробниче об'єднання імені І.Рум'янцева""",legal,active,364/2023,2023-07-01,,,,,,,,,
26060,"Акціонерне товариство ""Московський науково-виробничий комплекс ""Авіоніка"" імені О.В.Успенського""",legal,active,364/2023,2023-07-01,,,,,,,,,
26061,"Товариство з обмеженою відповідальністю ""ОБЛ-Шиппінг""",legal,active,364/2023,2023-07-01,,,,,,,,,
26062,"Товариство з обмеженою відповідальністю ""СК-Сєвєро-Запад""",legal,active,364/2023,2023-07-01,,,,,,,,,
26063,"Акціонерне товариство ""1470 управління матеріально-технічного забезпечення""",legal,active,364/2023,2023-07-01,,,,,,,,,
26064,"Товариство з обмеженою відповідальністю ""ОБЛ-Транс""",legal,active,364/2023,2023-07-01,,,,,,,,,
26065,"Товариство з обмеженою відповідальністю ""ОБЛ-Спецтранс""",legal,active,364/2023,2023-07-01,,,,,,,,,
26066,"Акціонерне товариство ""Головне управління облаштування військ""",legal,active,364/2023,2023-07-01,,,,,,,,,
26067,"Товариство з обмеженою відповідальністю ""Автомобільний завод ""ГАЗ""",legal,active,364/2023,2023-07-01,,,,,,,,,
26068,"Акціонерне товариство ""Діелектричні кабельні системи""",legal,active,364/2023,2023-07-01,,,,,,,,,
26069,"Товариство з обмеженою відповідальністю ""АДМ Група""",legal,active,364/2023,2023-07-01,,,,,,,,,
26070,"Товариство з обмеженою відповідальністю ""ДКС логістика""",legal,active,364/2023,2023-07-01,,,,,,,,,
26071,"Товариство з обмеженою відповідальністю ""Союзко-Крим""",legal,active,364/2023,2023-07-01,,,,,,,,,
26072,"Науково-технічне товариство з обмеженою відповідальністю ""Азімут""",legal,active,364/2023,2023-07-01,,,,,,,,,
26073,"Товариство з обмеженою відповідальністю ""АФМ-Серверс""",legal,active,364/2023,2023-07-01,,,,,,,,,
26074,"Акціонерне товариство ""Група компаній Іненерджи""",legal,active,364/2023,2023-07-01,,,,,,,,,
26075,"Акціонерне товариство ""Контакт""",legal,active,364/2023,2023-07-01,,,,,,,,,
26076,"Акціонерне товариство ""Свєтлана""",legal,active,364/2023,2023-07-01,,,,,,,,,
26077,"Акціонерне товариство ""Нев'янський машинобудівний завод""",legal,active,364/2023,2023-07-01,,,,,,,,,
26078,"Акціонерне товариство ""Нев'янський машинобудівний завод-Нафтогазове обладнання""",legal,active,364/2023,2023-07-01,,,,,,,,,
26079,"Товариство з обмеженою відповідальністю ""Нев'янський машинобудівний завод-Нафтогазове обладнання""",legal,active,364/2023,2023-07-01,,,,,,,,,
26080,"Товариство з обмеженою відповідальністю ""Нев'янський машинобудівний завод – Компресорне обладнання""",legal,active,364/2023,2023-07-01,,,,,,,,,
26081,"Товариство з обмеженою відповідальністю ""Кольчугінський завод з обробки кольорових металів""",legal,active,364/2023,2023-07-01,,,,,,,,,
26082,"Акціонерне товариство ""Союзгідравліка""",legal,active,364/2023,2023-07-01,,,,,,,,,
26083,"Акціонерне товариство ""Плутон""",legal,active,364/2023,2023-07-01,,,,,,,,,
26084,"Акціонерне товариство ""Науково-виробниче підприємство ""Радій""",legal,active,364/2023,2023-07-01,,,,,,,,,
26085,"Акціонерне товариство ""Фазотрон-ВМЗ""",legal,active,364/2023,2023-07-01,,,,,,,,,
26086,"Публічне акціонерне товариство ""Науково-виробниче об'єднання ""Фізика""",legal,active,364/2023,2023-07-01,,,,,,,,,
26087,"Відкрите акціонерне товариство ""Науково-виробниче об'єднання ""Геофізика-НВ""",legal,active,364/2023,2023-07-01,,,,,,,,,
26088,"Відкрите акціонерне товариство ""Спеціальне конструкторське бюро верстатних інформаційно-вимірювальних систем з дослідним виробництвом""",legal,active,364/2023,2023-07-01,,,,,,,,,
26089,"Товариство з обмеженою відповідальністю ""Силова електроніка""",legal,active,364/2023,2023-07-01,,,,,,,,,
26090,"Товариство з обмеженою відповідальністю ""ММП-Ірбіс""",legal,active,364/2023,2023-07-01,,,,,,,,,
26091,"Товариство з обмеженою відповідальністю Виробничо-комерційна фірма ""Піонер""",legal,active,364/2023,2023-07-01,,,,,,,,,
26092,"Товариство з обмеженою відповідальністю ""Об'єднання Альфапластик""",legal,active,364/2023,2023-07-01,,,,,,,,,
26093,"Акціонерне товариство ""Науково-виробниче об'єднання з медичних імунобіологічних препаратів ""Мікроген""",legal,active,364/2023,2023-07-01,,,,,,,,,
26094,"Акціонерне товариство ""Високовський механічний завод""",legal,active,364/2023,2023-07-01,,,,,,,,,
26095,"Товариство з обмеженою відповідальністю ""КБ Безпілотні Вертольоти""",legal,active,364/2023,2023-07-01,,,,,,,,,
26096,"Республіканське унітарне підприємство ""Науково-виробничий центр багатофункціональних безпілотних комплексів"" Національної академії наук Білорусі",legal,active,364/2023,2023-07-01,,,,,,,,,
26097,"Акціонерне товариство ""КТ – Безпілотні системи""",legal,active,364/2023,2023-07-01,,,,,,,,,
26098,"Акціонерне товариство ""Болховський завод напівпровідникових приладів""",legal,active,364/2023,2023-07-01,,,,,,,,,
26099,"Товариство з обмеженою відповідальністю ""Саторі-Консалтинг""",legal,active,364/2023,2023-07-01,,,,,,,,,
26100,"Публічне акціонерне товариство ""Ростовський оптико-механічний завод""",legal,active,364/2023,2023-07-01,,,,,,,,,
26101,"Товариство з обмеженою відповідальністю ""Бозон""",legal,active,364/2023,2023-07-01,,,,,,,,,
26102,"Закрите акціонерне товариство ""Щолковська шовкоткацька фабрика""",legal,active,364/2023,2023-07-01,,,,,,,,,
26103,"Акціонерне товариство Науково-виробниче підприємство ""Реляційні експертні системи""",legal,active,364/2023,2023-07-01,,,,,,,,,
26104,"Акціонерне товариство ""Науково-технічний центр ""Елінс""",legal,active,364/2023,2023-07-01,,,,,,,,,
26105,"Акціонерне товариство ""Мережеві технології""",legal,active,364/2023,2023-07-01,,,,,,,,,
26106,"Ордена Пошани публічне акціонерне товариство ""Телемеханіка""",legal,active,364/2023,2023-07-01,,,,,,,,,
26107,ЕсДжі Спешел Гейзес Трейдінг Лтд,legal,active,364/2023,2023-07-01,,,,,,,,,
26108,"Товариство з обмеженою відповідальністю ""Бізнес Менеджмент""",legal,active,364/2023,2023-07-01,,,,,,,,,
26110,"Акціонерне товариство ""Науково-дослідний інститут сталі""",legal,active,364/2023,2023-07-01,,,,,,,,,
26111,"Акціонерне товариство ""Авіаремонт""",legal,active,364/2023,2023-07-01,,,,,,,,,
26112,"Товариство з обмеженою відповідальністю ""Аеротєхсєрвіс""",legal,active,364/2023,2023-07-01,,,,,,,,,
26113,"Акціонерне товариство ""Тинис""",legal,active,364/2023,2023-07-01,,,,,,,,,
26114,Джорджіан Ейрвейз,legal,active,364/2023,2023-07-01,,,,,,,,,
26115,ЕйБіЕйч Холдингз СА,legal,active,371/2023,2023-07-05,,,,,,,,,
26116,ЕйБіЕйч Юкрейн Лімітед,legal,active,371/2023,2023-07-05,,,,,,,,,
26117,Альфастрахованіє Холдингз Лімітед,legal,active,371/2023,2023-07-05,,,,,,,,,
26118,ЕйБіЕйч Файненшл Лімітед,legal,active,371/2023,2023-07-05,,,,,,,,,
26119,"Акціонерне товариство ""АБ Холдинг""",legal,active,371/2023,2023-07-05,,,,,,,,,
26120,"Товариство з обмеженою відповідальністю ""ЮНС-Холдинг""",legal,active,371/2023,2023-07-05,,,,,,,,,
26121,"Акціонерне товариство ""АльфаСтрахування""",legal,active,371/2023,2023-07-05,,,,,,,,,
26122,"Товариство з обмеженою відповідальністю ""АС Фінанс""",legal,active,371/2023,2023-07-05,,,,,,,,,
26123,"Товариство з обмеженою відповідальністю ""АС Холдинг""",legal,active,371/2023,2023-07-05,,,,,,,,,
26124,"Товариство з обмеженою відповідальністю ""АльфаСтрахування – ОМС""",legal,active,371/2023,2023-07-05,,,,,,,,,
26125,"Товариство з обмеженою відповідальністю ""АльфаСтрахування – Життя""",legal,active,371/2023,2023-07-05,,,,,,,,,
26126,Селін Лімітед,legal,active,371/2023,2023-07-05,,,,,,,,,
26127,Маслін Холдингз Лімітед,legal,active,371/2023,2023-07-05,,,,,,,,,
26128,Фостар Лімітед,legal,active,371/2023,2023-07-05,,,,,,,,,
26129,ІЕксТі Лтд,legal,active,371/2023,2023-07-05,,,,,,,,,
26130,Вівіга Лімітед,legal,active,371/2023,2023-07-05,,,,,,,,,
26131,Фейрейкер Холдингз Лімітед,legal,active,371/2023,2023-07-05,,,,,,,,,
26132,Альфа Кепітал Холдингз Лімітед,legal,active,371/2023,2023-07-05,,,,,,,,,
26133,Согерал Фундейшн,legal,active,739/2023,2023-11-07,,,,,,,,,
26134,Хаберфілд Лімітед,legal,active,739/2023,2023-11-07,,,,,,,,,
26135,Альфа Файненс Холдингз Лімітед,legal,active,739/2023,2023-11-07,,,,,,,,,
26136,Ерасмоні Лімітед,legal,active,739/2023,2023-11-07,,,,,,,,,
26137,Рісса Інвестментс Лімітед,legal,active,739/2023,2023-11-07,,,,,,,,,
26138,Інтернешнл Дистриб'юшн Системз Лімітед,legal,active,739/2023,2023-11-07,,,,,,,,,
26139,Славісілла Холдінгс Лімітед,legal,active,739/2023,2023-11-07,,,,,,,,,
26140,СіТіЕф Холдингз С.А.,legal,active,739/2023,2023-11-07,,,,,,,,,
26141,Дендар Інвестмент Фанд Лімітед,legal,active,739/2023,2023-11-07,,,,,,,,,
26244,"Загальноросійський громадський благодійний фонд ""Російський дитячий фонд""",legal,active,759/2023,2023-11-18,,,,,,,,,
26245,"Благодійний фонд ""Фонд допомоги дітям імені Примакова Є.М.""",legal,active,759/2023,2023-11-18,,,,,,,,,
26246,"Фонд підтримки руху-конкурсів ""Мій родовід""",legal,active,759/2023,2023-11-18,,,,,,,,,
26247,"Товариство з обмеженою відповідальністю ""Царицине озеро""",legal,active,759/2023,2023-11-18,,,,,,,,,
26248,"Автономна некомерційна організація ""Санаторій – профілакторій ""Волхов""",legal,active,759/2023,2023-11-18,,,,,,,,,
26249,"Акціонерне товариство ""Тамбовокруг""",legal,active,759/2023,2023-11-18,,,,,,,,,
26250,"Муніципальне унітарне підприємство ""Готель ""Мічурінськ""",legal,active,759/2023,2023-11-18,,,,,,,,,
26251,"Тамбовська обласна державна автономна професійна освітня установа ""Аграрно-промисловий коледж""",legal,active,759/2023,2023-11-18,,,,,,,,,
26252,"Товариство з обмеженою відповідальністю ""Світ кіно""",legal,active,759/2023,2023-11-18,,,,,,,,,
26253,"Закрите акціонерне товариство Молодіжний оздоровчо-культурний комплекс ""Черьомушки""",legal,active,759/2023,2023-11-18,,,,,,,,,
26254,"Автономна некомерційна організація ""Агентство стратегічних ініціатив з просування нових проєктів""",legal,active,759/2023,2023-11-18,,,,,,,,,
26255,"Автономна некомерційна організація ""Благодійна служба пошуку медичної допомоги ""Вірний напрямок""",legal,active,759/2023,2023-11-18,,,,,,,,,
26256,"Благодійний фонд ""Географія добра""",legal,active,759/2023,2023-11-18,,,,,,,,,
26257,"Автономна некомерційна організація сприяння соціальній адаптації особистості ""Квартал Луї""",legal,active,759/2023,2023-11-18,,,,,,,,,
26258,"Товариство з обмеженою відповідальністю ""Веллград""",legal,active,759/2023,2023-11-18,,,,,,,,,
26259,"Державна бюджетна установа міста Москви ""Фінансово-господарське управління мерії Москви""",legal,active,759/2023,2023-11-18,,,,,,,,,
26260,Фонд-оператор президентських грантів із розвитку громадянського суспільства,legal,active,759/2023,2023-11-18,,,,,,,,,
26261,Міжрегіональний громадський рух постраждалих у воєнних конфліктах,legal,active,759/2023,2023-11-18,,,,,,,,,
26262,"Бєлгородська регіональна дитячоюнацька громадська організація ""Молодіжне братство святого Білогір'я""",legal,active,759/2023,2023-11-18,,,,,,,,,
26263,Чернянська районна організація Бєлгородської регіональної організації професійного союзу працівників державних установ та громадського обслуговування РФ,legal,active,759/2023,2023-11-18,,,,,,,,,
26264,"Автономна некомерційна спортивнооздоровча організація ""Сентокі""",legal,active,759/2023,2023-11-18,,,,,,,,,
26265,"Всеросійська громадська організація ""Співдружність випускників дитячих будинків ""Діти всієї країни""",legal,active,759/2023,2023-11-18,,,,,,,,,
26266,"Благодійний фонд ""Час допомагати""",legal,active,759/2023,2023-11-18,,,,,,,,,
26267,Благодійний фонд Феодора Болгарського,legal,active,759/2023,2023-11-18,,,,,,,,,
26268,"Державне унітарне підприємство Севастополя ""Пансіонати Севастополя""",legal,active,759/2023,2023-11-18,,,,,,,,,
26269,"Загальноросійський громадський рух сприяння патріотичному та спортивному вихованню громадян ""Здорова Вітчизна""",legal,active,759/2023,2023-11-18,,,,,,,,,
26270,"Всеросійська громадська організація ""Молода гвардія Єдиної Росії""",legal,active,759/2023,2023-11-18,,,,,,,,,
26271,"Всеросійський добровольчий молодіжний громадський рух ""За патріотичне, духовно-моральне виховання молоді ""Волонтерська рота Бойового братства""",legal,active,759/2023,2023-11-18,,,,,,,,,
26272,"Некомерційна організація Фонд підтримки ""Дитячої республіки ""Полєново""",legal,active,759/2023,2023-11-18,,,,,,,,,
26273,Асоціація волонтерських центрів,legal,active,759/2023,2023-11-18,,,,,,,,,
26274,Федеральне агентство у справах молоді,legal,active,759/2023,2023-11-18,,,,,,,,,
26275,Міністерство будівництва та житлово-комунального господарства Російської Федерації,legal,active,759/2023,2023-11-18,,,,,,,,,
26276,"Федеральна державна бюджетна установа ""Російський центр громадянського та патріотичного виховання дітей та молоді""",legal,active,759/2023,2023-11-18,,,,,,,,,
26277,"Всеросійський громадський рух добровольців у сфері охорони здоров'я ""Волонтери-медики""",legal,active,759/2023,2023-11-18,,,,,,,,,
26278,"Московська обласна громадська благодійна організація членів сімей військовослужбовців, загиблих у локальних війнах і воєнних конфліктах ""Пам'ять витязям""",legal,active,759/2023,2023-11-18,,,,,,,,,
26279,Місцевий благодійний фонд імені Олексія Талая,legal,active,759/2023,2023-11-18,,,,,,,,,
26280,"Публічно-правова компанія ""Фонд розвитку територій""",legal,active,759/2023,2023-11-18,,,,,,,,,
26341,Аеромотус Анменд Аеріал Веіклс Трейдинг Л.Л.С.,legal,active,772/2023,2023-11-23,,,,,,,,,
26342,"Товариство з обмеженою відповідальністю ""АФ Телеком Холдинг""",legal,active,772/2023,2023-11-23,,,,,,,,,
26343,"Акціонерне товариство ""Ахангаранцемент""",legal,active,772/2023,2023-11-23,,,,,,,,,
26344,"Товариство з обмеженою відповідальністю ""Аккерманн Цемент""",legal,active,772/2023,2023-11-23,,,,,,,,,
26345,Аккерман Цемент СіЕй,legal,active,772/2023,2023-11-23,,,,,,,,,
26346,Алейн Інвестментс Лімітед,legal,active,772/2023,2023-11-23,,,,,,,,,
26347,Альменор Холдингз Лімітед,legal,active,772/2023,2023-11-23,,,,,,,,,
26348,Артвін Мерітайм енд Трейд Лімітед Компані,legal,active,772/2023,2023-11-23,,,,,,,,,
26349,Азу Інтернешнл Інформейшн Текнолоджиз енд Форейн Трейд Лімітед Компані,legal,active,772/2023,2023-11-23,,,,,,,,,
26350,Чайна Хед Аероспейс Текнолоджі Компані,legal,active,772/2023,2023-11-23,,,,,,,,,
26351,Христодулос Г. Васіліадіс енд Ко. ЛЛС,legal,active,772/2023,2023-11-23,,,,,,,,,
26352,"Товариство з обмеженою відповідальністю ""Сіті-Девелопмент""",legal,active,772/2023,2023-11-23,,,,,,,,,
26353,Дексіас Індастріал Продактс енд Трейд,legal,active,772/2023,2023-11-23,,,,,,,,,
26354,"Товариство з обмеженою відповідальністю ""Дексіас""",legal,active,772/2023,2023-11-23,,,,,,,,,
26355,"Товариство з обмеженою відповідальністю ""Діджитал Інвест""",legal,active,772/2023,2023-11-23,,,,,,,,,
26356,"Товариство з обмеженою відповідальністю ""Федорівське""",legal,active,772/2023,2023-11-23,,,,,,,,,
26357,"Товариство з обмеженою відповідальністю ""ГКР-Нерухомість""",legal,active,772/2023,2023-11-23,,,,,,,,,
26358,"Товариство з обмеженою відповідальністю ""ГКР""",legal,active,772/2023,2023-11-23,,,,,,,,,
26359,"Товариство з обмеженою відповідальністю ""ГКР-УК""",legal,active,772/2023,2023-11-23,,,,,,,,,
26360,"Товариство з обмеженою відповідальністю ""Группа Родіна""",legal,active,772/2023,2023-11-23,,,,,,,,,
26361,Хамрія Стіл ЕфЗетСі,legal,active,772/2023,2023-11-23,,,,,,,,,
26362,Хіді Інвестментс Лімітед,legal,active,772/2023,2023-11-23,,,,,,,,,
26363,Хайтрейл Лтд,legal,active,772/2023,2023-11-23,,,,,,,,,
26364,Хульм аль Сахра Електрик Девайсез Трейдинг,legal,active,772/2023,2023-11-23,,,,,,,,,
26365,"Товариство з обмеженою відповідальністю ""Центр міжнародних цифрових технологій""",legal,active,772/2023,2023-11-23,,,,,,,,,
26366,"Товариство з обмеженою відповідальністю ""Інвестиційна Група ""Партнери""",legal,active,772/2023,2023-11-23,,,,,,,,,
26367,Іонікс Номініс Лімітед,legal,active,772/2023,2023-11-23,,,,,,,,,
26368,Айронхілл Холдингз Лімітед,legal,active,772/2023,2023-11-23,,,,,,,,,
26369,"Кінг Пай Текнолоджі (ЕйчКей) Ко., Лімітед",legal,active,772/2023,2023-11-23,,,,,,,,,
26370,Кларет Евіейшн Лімітед,legal,active,772/2023,2023-11-23,,,,,,,,,
26371,КейТіЕйч Груп спол. с.р.о.,legal,active,772/2023,2023-11-23,,,,,,,,,
26372,Ледра Номініс Лімітед,legal,active,772/2023,2023-11-23,,,,,,,,,
26373,Ледра Трасті Сервісіз Лімітед,legal,active,772/2023,2023-11-23,,,,,,,,,
26374,Ледра Трастіз Лімітед,legal,active,772/2023,2023-11-23,,,,,,,,,
26375,"Товариство з обмеженою відповідальністю ""Форум""",legal,active,772/2023,2023-11-23,,,,,,,,,
26376,"Товариство з обмеженою відповідальністю ""Земельні технології""",legal,active,772/2023,2023-11-23,,,,,,,,,
26377,"Товариство з обмеженою відповідальністю ""НДН""",legal,active,772/2023,2023-11-23,,,,,,,,,
26378,"Товариство з обмеженою відповідальністю ""НГФ""",legal,active,772/2023,2023-11-23,,,,,,,,,
26379,"Товариство з обмеженою відповідальністю ""Новогорськ Нерухомість""",legal,active,772/2023,2023-11-23,,,,,,,,,
26380,"Товариство з обмеженою відповідальністю ""Транслайнінвест""",legal,active,772/2023,2023-11-23,,,,,,,,,
26381,"Товариство з обмеженою відповідальністю ""ЮеСеМ Телеком""",legal,active,772/2023,2023-11-23,,,,,,,,,
26382,Мастерскілл Інвестментс Лімітед,legal,active,772/2023,2023-11-23,,,,,,,,,
26383,"Публічне акціонерне товариство ""Мегафон""",legal,active,772/2023,2023-11-23,,,,,,,,,
26384,Мірамонте Інвестментс Лімітед,legal,active,772/2023,2023-11-23,,,,,,,,,
26385,Навіс Марін Лімітед,legal,active,772/2023,2023-11-23,,,,,,,,,
26386,Омнія Антіб,legal,active,772/2023,2023-11-23,,,,,,,,,
26387,Омнія Сервісіз Сайпрес Лтд,legal,active,772/2023,2023-11-23,,,,,,,,,
26388,"Товариство з обмеженою відповідальністю ""ЄдінийФактор""",legal,active,772/2023,2023-11-23,,,,,,,,,
26389,"Акціонерне товариство ""Оскольський електрометалургійний комбінат імені Олексія Олексійовича Угарова""",legal,active,772/2023,2023-11-23,,,,,,,,,
26390,Платіфіно Лімітед,legal,active,772/2023,2023-11-23,,,,,,,,,
26391,Померол Кепітал СА,legal,active,772/2023,2023-11-23,,,,,,,,,
26392,"Товариство з обмеженою відповідальністю ""Родіна Строй Групп""",legal,active,772/2023,2023-11-23,,,,,,,,,
26393,Салда Менеджмент Мерітайм енд Трейд Лімітед Компані,legal,active,772/2023,2023-11-23,,,,,,,,,
26394,Саволер Девелопмент Лімітед,legal,active,772/2023,2023-11-23,,,,,,,,,
26395,Смарт Трейдинг Транспортейшн Індастрі енд Трейд Лімітед Компані,legal,active,772/2023,2023-11-23,,,,,,,,,
26396,Соммен Сікрітеріал Сервісіз Лімітед,legal,active,772/2023,2023-11-23,,,,,,,,,
26397,"Державна бюджетна освітня установа додаткової освіти Республіки Крим ""Регіональний центр з підготовки до військової служби та військовопатріотичного виховання""",legal,active,772/2023,2023-11-23,,,,,,,,,
26398,"Товариство з обмеженою відповідальністю ""Шторм Технології""",legal,active,772/2023,2023-11-23,,,,,,,,,
26399,Зе Сістер Траст,legal,active,772/2023,2023-11-23,,,,,,,,,
26400,"Товариство з обмеженою відповідальністю ""Удоканська мідь""",legal,active,772/2023,2023-11-23,,,,,,,,,
26401,"Товариство з обмеженою відповідальністю ""ЮеСеМ Цемент""",legal,active,772/2023,2023-11-23,,,,,,,,,
26402,"Товариство з обмеженою відповідальністю ""ЮеСеМ Сіті""",legal,active,772/2023,2023-11-23,,,,,,,,,
26403,"Товариство з обмеженою відповідальністю ""ЮеСеМ Голд""",legal,active,772/2023,2023-11-23,,,,,,,,,
26404,"Товариство з обмеженою відповідальністю ""ЮеСеМ Урбан Майнінг""",legal,active,772/2023,2023-11-23,,,,,,,,,
26405,"Товариство з обмеженою відповідальністю ""Ю-Терра""",legal,active,772/2023,2023-11-23,,,,,,,,,
26406,Вассіліадіс енд Ко (ЮКей) Лімітед,legal,active,772/2023,2023-11-23,,,,,,,,,
26407,Вассіліадіс енд Ко. (Мальта) Лімітед,legal,active,772/2023,2023-11-23,,,,,,,,,
26408,Вальдау Інвестментс Лімітед,legal,active,772/2023,2023-11-23,,,,,,,,,
26409,Дабл'юСіПі Менеджмент Компані Лтд,legal,active,772/2023,2023-11-23,,,,,,,,,
26410,Віндфел Пропертіз Лімітед,legal,active,772/2023,2023-11-23,,,,,,,,,
26411,"Товариство з обмеженою відповідальністю ""ЮеСеМ Маркування""",legal,active,772/2023,2023-11-23,,,,,,,,,
26412,"Товариство з обмеженою відповідальністю ""Цинкум""",legal,active,772/2023,2023-11-23,,,,,,,,,
26413,"Акціонерне товариство ""Російська національна перестрахувальна компанія""",legal,active,772/2023,2023-11-23,,,,,,,,,
26414,"Акціонерне товариство ""Дослідноконструкторське бюро ""Аерокосмічні системи""",legal,active,772/2023,2023-11-23,,,,,,,,,
26415,"Акціонерне товариство ""Наукововиробниче об'єднання ""Техномаш"" імені С.О.Афанасьєва""",legal,active,772/2023,2023-11-23,,,,,,,,,
26416,"Акціонерне товариство ГавриловЯмський машинобудівний завод ""Агат""",legal,active,772/2023,2023-11-23,,,,,,,,,
26417,"Товариство з обмеженою відповідальністю ""Ротор-43""",legal,active,772/2023,2023-11-23,,,,,,,,,
26418,"Товариство з обмеженою відповідальністю ""Дослідноконструкторське бюро ""Техніка""",legal,active,772/2023,2023-11-23,,,,,,,,,
26419,"Товариство з обмеженою відповідальністю ""Океан електроніки""",legal,active,772/2023,2023-11-23,,,,,,,,,
26420,"Товариство з обмеженою відповідальністю ""Москомсвязь""",legal,active,772/2023,2023-11-23,,,,,,,,,
26421,"Акціонерне товариство ""Пензенське виробниче об'єднання електронної обчислювальної техніки імені В.О.Ревунова""",legal,active,772/2023,2023-11-23,,,,,,,,,
26422,"Акціонерне товариство ""Дукс""",legal,active,772/2023,2023-11-23,,,,,,,,,
26423,"Акціонерне товариство ""Виробничоконструкторське підприємство ""Ірис""",legal,active,772/2023,2023-11-23,,,,,,,,,
26424,"Акціонерне товариство ""Океніт""",legal,active,772/2023,2023-11-23,,,,,,,,,
26425,"Публічне акціонерне товариство ""Група Позитив""",legal,active,772/2023,2023-11-23,,,,,,,,,
26426,"Товариство з обмеженою відповідальністю Науково-технічний центр ""Поіск-ІТ""",legal,active,772/2023,2023-11-23,,,,,,,,,
26427,"Закрите акціонерне товариство ""МНІТІ""",legal,active,772/2023,2023-11-23,,,,,,,,,
26428,"Товариство з обмеженою відповідальністю ""ФТІ-Оптронік""",legal,active,772/2023,2023-11-23,,,,,,,,,
26429,Діамвіль САУ,legal,active,772/2023,2023-11-23,,,,,,,,,
26430,Індастріал Ресорсез Дженерал Трейдинг,legal,active,772/2023,2023-11-23,,,,,,,,,
26431,"Товариство з обмеженою відповідальністю ""ДМ""",legal,active,772/2023,2023-11-23,,,,,,,,,
26432,Мідас Ресурс САРЛЮ,legal,active,772/2023,2023-11-23,,,,,,,,,
26433,Фонд захисту національних цінностей,legal,active,772/2023,2023-11-23,,,,,,,,,
26521,"Автономна некомерційна організація ""Єдина транспортна дирекція""",legal,active,773/2023,2023-11-23,,,,,,,,,
26522,"Акціонерне товариство ""Вологодська обласна енергетична компанія""",legal,active,773/2023,2023-11-23,,,,,,,,,
26523,"Акціонерне товариство ""Омськелектро""",legal,active,773/2023,2023-11-23,,,,,,,,,
26524,"Публічне акціонерне товариство ""Россєті Лененерго""",legal,active,773/2023,2023-11-23,,,,,,,,,
26525,"Акціонерне товариство ""Далекосхідна енергетична управляюча компанія – ГенераціяМережі""",legal,active,773/2023,2023-11-23,,,,,,,,,
26526,"Казенне підприємство ""Московська енергетична дирекція""",legal,active,773/2023,2023-11-23,,,,,,,,,
26527,"Акціонерне товариство ""Салехарденерго""",legal,active,773/2023,2023-11-23,,,,,,,,,
